Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
Clay John Frantz Red,06-04,Red,,Unglazed,Oxidation,,Redart	40.00,Pine Lake	30.00,Ball clay	25.00,Talc theoretical	5.00,,,,,,,,,,
Clay Off-white Earthenware Nicholas,06,off-white,,Lichen,Oxidation,Opaque,GoldArt	40.00,Ball clay	30.00,EPK	10.00,Talc	10.00,Bentonite	2.00,Grog	8.00,,,,,,,,
Clay Pete's 03 Red Throwing Body,03,Red,,Unglazed,Oxidation,Opaque,Ranger Red clay	50.00,Redart	25.00,Hawthorne Bond	10.00,Ball clay	10.00,Wollastonite	5.00,Barium carbonate	0.50,V-gum T	1.00,,,,,,,
Clay Red,,Orange,,,,,Redart	82.00,GoldArt	18.00,"Grog, med	2.00","Grog, fine	16.00",,,,,,,,,,
Clay Red BB for BIGware,04,Red,,Unglazed,Oxidation,,Foundry Hill Creme	24.00,Kentucky OM #4	24.00,A.P. Green	24.00,Redart	24.00,Frit 3124	4.00,Red iron oxide	2.00,fine grog	10.00,Barium carbonate	0.50,,,,,,
Clay Red Bruce Cochrane modified - Horie,04,orange,,unglazed,Oxidation,Opaque,Kentucky OM #4	10.00,Redart	70.00,GoldArt	20.00,Frit 3124	3.00,Barium carbonate	2.00,Bentonite	2.00,Kyanite	5.00,,,,,,,
Clay Red Charlie's 1-3,1-3,Red,Tested,Unglazed,Oxidation,Opaque,Redart	60.00,Foundry Hill Creme	20.00,XX Sagger	10.00,Talc	5.00,Nepheline syenite	5.00,Red iron oxide	0.25,Barium carbonate	0.25,,,,,,,
Clay Red Charlie's Handbuilding 1-3,1-3,Red,,,Oxidation,,Redart	35.00,Foundry Hill Creme	15.00,Hawthorne Bond	5.00,Nepheline syenite	5.00,Talc	5.00,Grog	40.00,,,,,,,,
Clay Red Ron Meyers,01,Orange,,unglazed,Oxidation,,Ocmulgee	63.00,Redart	20.00,Ball clay	8.00,Fire clay	8.00,Talc	2.00,,,,,,,,,
Clay Red Stan Andersen's,03,Orange,Tested,,Oxidation,Opaque,Redart	65.00,GoldArt	15.00,Fire clay	15.00,Talc	10.00,Barium carbonate	0.50,,,,,,,,,
Clay Resolute Terracotta,04-03,Orange,,Unglazed,Oxidation,Opaque,Redart	42.00,GoldArt	9.00,Foundry Hill Creme	13.00,XX Sagger	15.00,Fireclay	7.00,Silica	6.00,Talc theoretical	6.00,Spodumene	3.00,Bentonite	2.00,Barium carbonate	0.50,Kyanite	2.00,,,
Clay sculpture Cushing Tan/Orange,04,Orange,,,Oxidation,Opaque,Ocmulgee	20.00,Narco fire clay	10.00,A.P. Green	15.00,Talc	15.00,Wollastonite	10.00,Grog	30.00,Red iron oxide	5.00,Barnard clay	3.00,Barium carbonate	1.00,,,,,
Clay Stan's Red,04-03,Orange,,,Oxidation,,Redart	65.00,GoldArt	15.00,Fire clay	15.00,Talc	10.00,Barium carbonate	0.50,,,,,,,,,
Clay Steve & Linda's sAxer 8/07,03,Orange,,,Oxidation,Opaque,Redart	20.80,Carbondale Red	5.40,XX Sagger	5.40,Silica	5.40,pioneer talc	5.40,Ball Clay Bell Dark	2.50,lincoln fire clay	2.50,Spodumene	1.50,Bentonite	1.50,Amblygonite	49.50,Grog	1.00,Barium carbonate	0.10,Epsom salts	0.10,
Clay Steve and Linda's Axner 9_07,,,,,,,Redart	41.00,Carbondale Red	10.00,XX Sagger	10.00,Silica	10.00,Pioneer talc	10.00,Bell Dark	5.00,lincoln fire clay	5.00,Spodumene	3.00,Bentonite	3.00,Grog	2.00,Barium carbonate	0.02,Epsom salts	0.02,,
Clay Steve and Linda's Red,04-03,Orange,,Unglazed,Oxidation,Opaque,Redart	43.00,XX Sagger	11.00,Ball clay	5.00,Neuman Red	16.00,Silica	11.00,Talc	11.00,Spodumene	5.00,Grog	2.00,Barium carbonate	0.50,,,,,
Clay Steve's Improved Red,04-03,Orange,,Unglazed,Oxidation,,GoldArt	16.20,Redart	48.60,Hawthorne Bond	16.20,Silica	5.40,Talc	10.80,Spodumene	2.70,Bentonite	2.00,Barium carbonate	0.50,,,,,,
Clay Steve's remix,03,Orange,,,Oxidation,,Redart	53.00,XX Sagger	11.00,Bell Dark ball clay	5.00,GoldArt	5.00,Silica	11.00,Talc theoretical	11.00,Spodumene	3.00,Bentonite	3.00,,,,,,
Clay Terracotta St. John's,04,Orange,,,Oxidation,Opaque,Redart	50.00,GoldArt	10.00,A.P. Green	10.00,Ball clay	10.00,Talc	20.00,Barium carbonate	0.50,,,,,,,,
Clay UF Red Earthenware,04-03,Orange,Tested,,Oxidation,,XX Sagger	50.00,Ball clay	20.00,Lizella Red	40.00,Talc theoretical	20.00,Wollastonite	5.00,Redart	70.00,,,,,,,,
Clay White Alfred Base Clay,02,White,,,Ox. or Red.,Opaque,Talc	43.50,Ball clay	43.50,Silica	13.00,,,,,,,,,,,
Clay White Boyden,04,White,,,Ox. or Red.,Semi-opaque,Kentucky OM #4	50.00,Talc	38.00,Nepheline syenite	12.00,Macaloid	1.00,,,,,,,,,,
Clay White Earthenware Penland,02,White,Tested,Unglazed,Oxidation,Opaque,Talc theoretical	37.50,XX Sagger	25.00,EPK	5.00,Kentucky OM #4	32.00,,,,,,,,,,
Clay White Earthenware Woodman,05,White,,Unglazed,Oxidation,Opaque,Kaolin	30.00,Kentucky OM #4	30.00,Fireclay	30.00,Wollastonite	7.00,Talc	3.00,Grog	7.00,,,,,,,,
clay white Lisa Orr's,04,White,,unglazed,Oxidation,Opaque,Tile 6 clay	33.00,EPK	16.00,Ball clay	9.00,Foundry Hill Creme	9.00,A.P. Green	6.00,Frit 3110	9.00,Talc	9.00,Flint	4.00,Bentonite	1.00,silica sand	1.00,,,,
Clay White Sculpture,08-04,White,,,Oxidation,,XX Sagger	14.00,EPK	29.00,Tile 6 clay	14.00,Talc theoretical	29.00,Wollastonite	14.00,Molochite	30.00,Bentonite	3.00,Macaloid	3.00,nylon fiber	0.70,,,,,
Clay white sculpture Cushing,04,White,,Unglazed,Ox. or Red.,Opaque,EPK	10.00,Grolleg	20.00,Ball clay	10.00,Frit 3124	10.00,Talc	10.00,Wollastonite	10.00,Molochite	30.00,Bentonite	2.00,,,,,,
Clay White Talc,04,White,,,Ox. or Red.,Opaque,Tennessee ball clay	30.00,Kentucky OM #4	20.00,Talc	25.00,Nepheline syenite	5.00,Frit 3134	10.00,,,,,,,,,
Clay White Vince's 05-03,05-03,White,,Unglazed,Oxidation,,Kentucky OM #4	36.00,Tile 6 clay	32.00,Custer spar	10.00,Flint	12.00,Nepheline syenite	10.00,,,,,,,,,
Clay White Vince's Cadillac,04-03,White,,,Oxidation,Opaque,Kentucky OM #4	30.00,EPK	20.00,Tile 6 clay	10.00,XX Sagger	10.00,Flint	10.00,Talc	5.00,Frit 3124	15.00,,,,,,,
"Clay White, Vitreous VC",04,White,,Unglazed,Oxidation,Opaque,Grolleg	25.00,Tile 6 clay	20.00,Ball clay	15.00,Talc	5.00,Frit 3124	30.00,Flint	5.00,Bentonite	2.00,,,,,,,
Clay Whiteware,04-03,White,,,Oxidation,Opaque,Ball clay	50.00,Talc	50.00,,,,,,,,,,,,
Clay Zakin Oyster White,03,White,,Unglazed,Oxidation,Opaque,Ball clay	42.00,Fireclay	14.00,Talc	30.00,Kona F-4 feldspar	14.00,,,,,,,,,,
Clear,06,Transparent Clear,Untested,Glossy or shiny,Oxidation,,Frit 3134	55.00,Kona F-4 feldspar	20.00,Flint	15.00,Bentonite	10.00,,,,,,,,,,
Clear 04,04,Clear,Untested,,Oxidation,,Gerstley borate	55.00,EPK	30.00,Flint	15.00,,,,,,,,,,,
Clear 04 Kona,04,,Untested,,Oxidation,,Kona F-4 spar	45.00,Gerstley borate	30.00,Flint	10.00,Barium carbonate	6.00,Zinc oxide	5.00,Kaolin	4.00,,,,,,,,
CLEAR 1,04,Transparent Clear,Untested,Shiny or Glossy,Oxidation,,Pemco frit P-54	79.20,Pyrophyllite	19.80,Bentonite	1.00,,,,,,,,,,,
Clear 1 Shiny,04,Clear,Untested,Glossy,Oxidation,Transparent,Nepheline Sye	19.60,Gerstley borate	29.40,Frit 3195	29.40,EPK	9.80,Flint	9.80,Bentonite	2.00,,,,,,,,
Clear 2 Shiny,04,Clear,Untested,Glossy,Oxidation,Transparent,Frit 3110	70.60,Gerstley borate	5.90,Flint	9.80,Kaolin	6.90,Zinc oxide	2.90,Whiting	3.90,,,,,,,,
Clear Amber,04,Transparent Yellow,Untested,shiny glossy,Ox. or Red.,,Ferro Frit 3134	30.00,Gerstley borate	30.00,Redart Clay	40.00,,,,,,,,,,,
Clear Annabeth Rosen,08,Clear,,,Oxidation,Transparent,Gerstley borate	73.00,EPK	25.00,Lithium carbonate	2.00,,,,,,,,,,,
Clear Base 1 Orr,03,Clear,,Gloss,Oxidation,Transparent,Gerstley borate	9.00,Soda ash	16.00,Frit 3110	66.00,EPK	5.00,Flint	4.00,,,,,,,,,
Clear Base 2 Orr,03,Clear,,Gloss,Oxidation,Transparent,Gerstley borate	12.00,Frit 3110	73.00,EPK	15.00,,,,,,,,,,,
Clear Best Variation #22,04-03,Clear,Untested,Gloss,Oxidation,Transparent,Frit 3289	24.00,Gerstley borate	33.00,Spodumene	19.00,Kaolin	12.00,Silica	12.00,,,,,,,,,
Clear Best Variation #22 no GB,04-03,Clear,Untested,Gloss,Oxidation,Transparent,Frit 3185	35.70,Wollastonite	19.50,Barium carbonate	14.20,Spodumene	18.60,Potash feldspar - theoretical	4.50,Kaolin - theoretical	4.00,Alumina	3.50,,,,,,,
Clear Best Variation #22 no GB no Ba,04-03,White,Tested,Matt,Oxidation,Translucent,Frit 3185	35.70,Wollastonite	19.50,Strontium carbonate	10.60,Spodumene	18.60,Potash feldspar - theoretical	4.50,Kaolin - theoretical	4.00,Alumina	3.50,,,,,,,
Clear Charlie Cummings 1,1,Clear,,Gloss,Oxidation,Transparent,Frit 3124	80.00,Tile 6 clay	10.00,Flint	10.00,,,,,,,,,,,
Clear Crackle,04,Clear transparent,,glossy shiny,,,Gerstley borate	55.00,EPK	30.00,Flint	15.00,,,,,,,,,,,
Clear Deb's,04,Clear,,Gloss,Oxidation,Transparent,Frit 3134	30.00,Frit 3195	45.00,EPK	25.00,Bentonite	2.00,,,,,,,,,,
Clear Doherty,04-03,Clear,,Gloss,Oxidation,Transparent,Frit 5301	12.90,Flint	12.90,EPK	25.80,Gerstley borate	48.30,Bentonite	1.00,,,,,,,,,
Clear Doherty #2,04-03,Clear,,Gloss,Oxidation,Transparent,Frit 5301	11.90,Flint	11.90,EPK	23.70,Gerstley borate	44.20,Dolomite	8.30,,,,,,,,,
Clear Doherty recalc,04-03,Clear,,Gloss,Oxidation,Transparent,Frit 3195	68.20,Kaolin - theoretical	1.70,Dolomite	7.90,Whiting	1.80,Nepheline syenite	3.70,Alumina	1.80,Bentonite	2.00,,,,,,,
Clear glaze 04,04,Clear,,Gloss,Oxidation,Transparent,Frit 3124	80.00,Kaolin	10.00,Flint	10.00,Bentonite	2.00,,,,,,,,,,
Clear glaze 04 w/3134,04,Clear,,Gloss,Oxidation,Transparent,Frit 3134	49.50,Kaolin - theoretical	38.90,Silica	11.60,Magnesium carbonate	0.02,Bentonite	1.90,,,,,,,,,
Clear gloss Alfred,04,Clear,Untested,Glossy or shiny,Oxidation,Transparent,Nepheline syenite	25.00,Gerstley borate	25.00,Frit 3195	30.00,EPK	10.00,Flint	10.00,,,,,,,,,
Clear Gloss Cushing,04,clear,UnTested,,oxidation,Transparent,Gerstley borate	5.00,Lithium carbonate	4.00,Zinc oxide	2.00,Frit 3134	75.00,Nepheline syenite	8.00,EPK	6.00,,,,,,,,
Clear Haystack Base,04-03,Clear,,,,Transparent,Frit 3134	83.30,Ball clay	16.70,Zircopax	11.10,Rutile	2.30,,,,,,,,,,
Clear Ian's,04,Clear,,Gloss,Oxidation,Transparent,Frit 3124	55.60,EPK	18.50,Nepheline syenite	18.50,Lithium carbonate	7.40,Bentonite	2.00,,,,,,,,,
Clear Ian's  04,04,Clear,,Satin matt,Oxidation,Translucent,Frit 3124	68.00,EPK	8.00,Nepheline syenite	8.00,Lithium carbonate	3.00,Cryolite	13.00,Bentonite	2.00,,,,,,,,
Clear Ian's  04,04,Clear,,Satin matt,Oxidation,Translucent,Frit 3124	68.00,EPK	8.00,Nepheline syenite	8.00,Lithium carbonate	3.00,Cryolite	13.00,Bentonite	2.00,,,,,,,,
Clear Jeff's 04,04,Clear,Untested,shiny glossy,Ox. or Red.,Transparent,Frit 3289	20.00,Gerstley borate	40.00,Ball clay	40.00,,,,,,,,,,,
Clear Leadless,04,Clear,Untested,Glossy,Oxidation,Transparent,Frit 3110	30.00,Frit 3124	30.00,Nepheline syenite	10.00,Lithium carbonate	10.00,Zinc oxide	5.00,Borax	5.00,Gerstley borate	10.00,,,,,,,
Clear Lee's,04,Clear,Tested,Gloss,Oxidation,Transparent,Gerstley borate	26.00,Nepheline syenite	20.00,Frit 3124	30.00,Lithium carbonate	4.00,Kaolin	10.00,Flint	10.00,,,,,,,,
Clear Lee's no GB,04,Clear,Untested,Gloss,Oxidation,Transparent,Lithium carbonate	4.20,Spodumene	10.20,Frit 3134	52.90,Kaolin - theoretical	27.20,Silica	5.50,,,,,,,,,
Clear Meyers,04-5,,,Gloss,Oxidation,Transparent,Frit 3124	80.00,Kaolin	10.00,Flint	10.00,Bentonite	2.00,,,,,,,,,,
Clear NO BORON 04,04,Clear,Untested,Gloss,Oxidation,Transparent,Flint	42.70,EPK	22.50,Lithium carbonate	10.10,Whiting	10.10,Zinc oxide	10.10,Strontium carbonate	4.50,,,,,,,,
Clear Ostrom,04,Clear,,Gloss,Oxidation,Transparent,Frit 3124	30.00,Frit 3195	45.00,Ball clay	25.00,,,,,,,,,,,
Clear Parson's Satin,04-03,White,,Satin matt,Oxidation,Translucent,Flint	42.00,Gerstley borate	48.00,Nepheline syenite	5.00,Lithium carbonate	10.00,EPK	5.00,Bentonite	2.00,,,,,,,,
Clear Patrick Loughran's,04-03,Clear,,Gloss,Oxidation,Transparent,Frit 3195	82.00,Ball clay	4.50,EPK	4.50,Nepheline syenite	9.00,Magnesium carb	2.00,,,,,,,,,
CLEAR PETE PINNELL,03,Clear,Untested,Glossy or shiny,Oxidation,Transparent,Frit 3289	90.00,Ball clay	10.00,Bentonite	2.00,,,,,,,,,,,
Clear Pete's Basic,03,Clear,Untested,Gloss,Oxidation,Transparent,Frit 3124	70.00,Strontium carbonate	10.00,Nepheline syenite	10.00,Ball clay	10.00,Bentonite	2.00,,,,,,,,,
Clear Pete's E-11 c04,04,Clear,Untested,Gloss,Ox. or Red.,Transparent,Frit 3134	60.00,Ball clay	30.00,Flint	10.00,,,,,,,,,,,
Clear Pete's E-12,04,Clear,,Gloss,Oxidation,Transparent,Frit 3134	50.00,Kentucky OM #4	35.00,Flint	15.00,,,,,,,,,,,
Clear Pete's E-19,04,Clear,,Gloss,Oxidation,Transparent,Lithium carbonate	10.00,Strontium carbonate	15.00,Kentucky OM #4	30.00,Flint	45.00,Bentonite	2.00,,,,,,,,,
Clear Pete's E-2,04,Clear,,Gloss,Oxidation,Transparent,Frit 3124	80.00,Strontium carbonate	10.00,Flint	10.00,,,,,,,,,,,
Clear Ron Meyers,01,Clear,Untested,Gloss,Ox. or Red.,Transparent,Ferro frit 3124	80.00,EPK	10.00,Flint	10.00,Bentonite	2.00,,,,,,,,,,
Clear Ron Meyers,01,Clear,Untested,Gloss,Ox. or Red.,Transparent,Ferro frit 3124	80.00,EPK	10.00,Flint	10.00,Bentonite	2.00,,,,,,,,,,
Clear Satin Heather's no GB,04-03,Clear,Untested,Satin matt,Oxidation,Transparent,Frit 3124	25.00,Laguna borate	25.00,EPK	20.00,Flint	10.00,Whiting	10.00,Talc	10.00,,,,,,,,
Clear Satin Heather's no GB recalc,04-03,Clear,Untested,Satin matt,Oxidation,Transparent,Frit 3195	44.80,Dolomite	16.40,Whiting	8.40,Kaolin - theoretical	15.00,Silica	12.70,Custer feldspar	3.30,,,,,,,,
Clear Strontium Base 03,03,Clear,,Gloss,Oxidation,Transparent,Frit 3110	30.60,Gerstley borate	33.00,EPK	26.00,Flint	5.00,Wollastonite	3.00,Strontium carbonate	2.50,Bentonite	2.00,,,,,,,
Clear SWO,03,Clear,,Gloss,Oxidation,Transparent,Frit 3124	72.00,Nepheline syenite	12.00,Silica	10.00,EPK	6.00,,,,,,,,,,
Clear Symon,04 - 03,clear,Tested,Gloss,oxidation,Transparent,Lithium carbonate	3.90,Frit 3124	77.00,Nepheline syenite	9.60,EPK	9.60,Bentonite	2.00,,,,,,,,,
Clear TST,04-03,Clear,,Matt-shiny,Oxidation,,Frit 3110	27.20,Lithium carbonate	19.90,Bone ash	8.20,Nepheline syenite	6.90,EPK	11.70,Silica	26.20,Bentonite	2.00,,,,,,,
Clear Val's,04,Clear,,Gloss,Oxidation,Transparent,Frit 3195	30.00,Gerstley borate	35.00,Nepheline syenite	20.00,EPK	10.00,Flint	10.00,Cornwall Stone	15.00,Bentonite	2.00,,,,,,,
Clear Vals's,04-03,Clear,,Gloss,Oxidation,Transparent,Frit 3195	30.00,Gerstley borate	30.00,Nepheline syenite	20.00,EPK	10.00,Flint	10.00,Cornwall Stone	15.00,Bentonite	2.00,,,,,,,
Clear Vals's no GB,04-03,Clear,Untested,Gloss,Oxidation,Transparent,Frit 3195	66.40,Whiting	6.00,Nepheline syenite	23.20,Silica	14.00,Bentonite	2.00,,,,,,,,,
Copper Metal Aventurine,04,Brown,,Gloss,Oxidation,Translucent,Frit 3819	85.00,Gerstley borate	15.00,Red iron oxide	26.00,,,,,,,,,,,
Copper Metallic Aventurine,04,Brown,,,Oxidation,,Gerstley borate	75.00,Silica	25.00,Red iron oxide	24.00,,,,,,,,,,,
Cowbell,03,Amber,,Gloss,Oxidation,Transparent,Frit P-25	78.00,Silica	10.00,Lithium carbonate	8.00,EPK	4.00,Bentonite	2.00,Red iron oxide	15.00,,,,,,,,
Crackle Cris Carver's,04,Clear,Untested,,Oxidation,Transparent,Gerstley borate	174.80,F-4 spar	48.50,Dolomite	92.20,EPK	135.90,Magnesium carbonate	48.50,Bentonite	9.70,,,,,,,,
Crackle Glossy transparent,08 - 06,Clear,Untested,Gloss,Oxidation,Transparent,Frit 3110	65.00,Gerstley borate	5.00,Flint	10.00,Soda ash	10.00,Kaolin	10.00,,,,,,,,,
Crackle Keator,08-06,Clear,,Gloss,Raku,Transparent,Gerstley borate	76.20,Nepheline syenite	19.00,Kaolin	4.80,,,,,,,,,,,
Crackle White,06 - 04,White,,Gloss,Oxidation,Opaque,Gerstley borate	47.80,EPK	26.10,Silica	13.00,Cryolite	13.00,Zircopax	13.00,,,,,,,,,
Craters,06-04,Turquoise,,Crater,Oxidation,Opaque,Magnesium carbonate	10.00,Kaolin	10.00,Lithium carbonate	30.00,Borax	15.00,Flint	30.00,Bentonite	5.00,Copper carbonate	6.00,,,,,,,
Crawl June's Dry,06,,,Lichen,Oxidation,Opaque,Gerstley borate20.00,Zinc oxide	80.00,,,,,,,,,,,,
Crawl SDSU,06-03,White,,Crawl,Oxidation,Semi-opaque,Gerstley borate	46.50,Magnesium carbonate	31.00,EPK	18.60,Borax	3.90,Zircopax	5.40,,,,,,,,,
Crawl Tom Bartel,04,White,,Crawl,Oxidation,Translucent,Borax	3.90,Gerstley borate	46.50,Magnesium carbonate	31.00,EPK	18.00,Zircopax	5.40,,,,,,,,,
Crawly Elsie's Matt 04,04,White,Untested,Matt,Oxidation,Opaque,Gerstley borate	28.00,G-200 spar	19.00,Lepidolite	9.00,EPK	38.00,Soda ash	6.00,,,,,,,,,
Cream Housepaint,03,Warm White,,Waxy,Oxidation,Semi-opaque,Frit 3195	85.00,EPK	15.00,Frit P-25	20.00,Titanium dioxide	15.00,,,,,,,,,,
Cris Carver's Crackle,04,Transparent Clear,Untested,?,Oxidation,,Gerstley borate	174.80,F-4 spar	48.50,Dolomite	92.20,EPK	135.90,Magnesium carbonate	48.50,Bentonite	9.70,,,,,,,,
Crystal Jennifer,04,,,Satin matt,Oxidation,Opaque,Frit 3289	20.00,Custer feldspar	14.60,Gerstley borate	12.60,Dolomite	1.00,Wollastonite	10.00,Rutile	1.00,Zircopax	10.70,Zinc oxide	11.10,Flint	14.70,Alumina hydrate	0.60,Salt	5.30,,,
Crystal Jennifer no GB,04,,,Satin matt,Oxidation,Opaque,Frit 3134	39.50,Nepheline syenite	20.80,Dolomite	3.10,Whiting	1.20,Barium carbonate	7.80,Zinc oxide	12.30,Silica	15.30,Rutile	1.10,Zircopax	11.90,Bentonite	2.00,,,,
Curdle,04-03,Tan,,Waxy,Oxidation,Opaque,Borax	70.00,Kona F-4 feldspar	20.00,Redart	10.00,Zinc oxide	9.00,Tin oxide	25.00,,,,,,,,,
Cushing Transparent Gloss,04,clear,,,,,Gerstley borate	5.00,Lithium carbonate	4.00,Zinc oxide	2.00,Ferro frit 3134	75.00,Nepheline syenite	8.00,EPK	6.00,,,,,,,,
Darby 1,04,,Untested,shiny glossy,Ox. or Red.,,Spodumene	40.00,Gerstley borate	30.00,Flint	20.00,,,,,,,,,,,
Darby 2 variation-untested,04,,Untested,?,Ox. or Red.,,Spodumene	53.70,Frit 3134	34.90,Flint	11.40,Bentonite	2.00,,,,,,,,,,
Darby's Base,04,,Untested,semi gloss,Ox. or Red.,,Spodumene	40.00,Gerstley borate	30.00,Silica	30.00,,,,,,,,,,,
Darby's Base no GB,04,Black,Tested,Gloss,Ox. or Red.,Opaque,Spodumene	42.00,Silica	19.00,Frit 3134	39.00,Bentonite	2.00,,,,,,,,,,
David Parson's Wierd,04,Blue,Untested,Texture,Oxidation,Opaque,Lithium carbonate	12.50,Grolleg	12.50,Barium carbonate	37.50,Tin oxide	125.00,Manganese dioxide	37.50,,,,,,,,,
Denim Charlie Cummings (#06-110),1-3,,,Gloss,Oxidation,Opaque,Tile 6 clay	23.00,EPK	9.00,Dolomite	17.00,Flint	20.00,Gerstley borate	30.00,Titanium dioxide	3.00,Cobalt carbonate	1.00,,,,,,,
Don's Blue 08-06,08 - 06,Bright blue,Untested,mottled,Oxidation,,G-200 feldspar	138.90,Gerstley borate	277.80,Ball clay	55.50,Barium carbonate	27.80,Rutile	5.60,Copper carbonate	11.10,,,,,,,,
Dry Alligator Red Rust June's,06,Red,,Lichen,Ox. or Red.,Opaque,Gerstley borate57.10,Nepheline syenite14.30,Bone ash	28.60,Copper carbonate	14.30,,,,,,,,,,
Earthmother,06-04,,,,Oxidation,Opaque,Lithium carbonate	30.00,Gerstley borate	30.00,Flint	20.00,Ball clay	10.00,Talc	10.00,Copper carbonate	3.00,Cobalt carbonate	1.00,Manganese dioxide	3.00,,,,,,
Egyptian Paste 04,04,White,,Semi-gloss,Oxidation,Opaque,Soda feldspar - theoretical	37.50,Kaolin	23.40,Flint	18.60,Soda ash	5.70,Sodium bicarbonate	5.60,Ball clay	4.60,Whiting	4.60,,,,,,,
Egyptian Paste Higby,08,,,,Oxidation,,Feldspar	40.00,Flint	40.00,Soda ash	5.00,Sodium bicarbonate	5.00,Ball clay	10.00,sand	10.00,,,,,,,,
Egyptian Paste Juanitas,08,,,Gloss,Oxidation,,Nepheline syenite	30.00,Flint	40.00,Soda ash	5.00,Sodium bicarbonate	5.00,Ball clay	10.00,Fire clay	10.00,sand	10.00,Bentonite	2.00,,,,,,
Egyptian paste Noble's,08,,,Gloss,Oxidation,Opaque,Soda feldspar	46.00,Flint	23.00,Soda ash	7.00,Sodium bicarbonate	7.00,Whiting	6.00,Bentonite	2.00,,,,,,,,
Egyptian Paste Rhodes,08,,,Gloss,Oxidation,,Feldspar	40.00,Flint	20.00,Ball clay	5.00,Grolleg	15.00,Sodium bicarbonate	6.00,Soda ash	6.00,Whiting	5.00,sand	8.00,,,,,,
Erickson's Peeling Paint c04,04,White ?,Untested,Peeling Surface Texture,Ox or Red,Opaque,Gerstley borate	6400.00,Titanium dioxide	1600.00,,,,,,,,,,,,
Faux Lead,04,transparent?,,glossy shiny,,,Ferro frit 3110	30.57,Gerstley borate	32.97,EPK	25.97,Flint	5.00,Wollastonite	3.00,Strontium carbonate	2.50,Bentonite	2.00,,,,,,,
Faux Lead Strontium Base,04,Transparent Yellow brown,Tested,Shiny or Glossy,Oxidation,,Frit 3110	30.60,Gerstley borate	33.00,EPK	26.00,Flint	5.00,Wollastonite	3.00,Strontium carbonate	2.50,Bentonite	2.00,,,,,,,
Faux Lead Strontium Base No GB,04,Amber,Tested,Gloss,Oxidation,Transparent,Frit 3134	45.10,Dolomite	5.20,Strontium carbonate	2.50,Kaolin - theoretical	15.20,Custer feldspar	22.00,Alumina hydrate	2.20,Bentonite	2.00,,,,,,,
Faux Lead Strontium Base No GB test 2006,04,Amber,Untested,Gloss,Oxidation,Transparent,Frit 3134	42.50,Whiting	3.60,Strontium carbonate	4.20,Nepheline syenite	48.70,Silica	1.00,Bentonite	0.80,,,,,,,,
Faux Lead Strontium Base No GB w/sienna,04,Amber,Tested,Gloss,Oxidation,Transparent,Frit 3134	48.40,Dolomite	6.00,Strontium carbonate	2.70,Whiting	0.06,Kaolin - theoretical	17.00,Custer feldspar	23.60,Alumina hydrate	2.50,Bentonite	2.10,Burnt sienna	4.20,Manganese dioxide	0.50,,,,
Faux Lead Strontium Base no GB2,04,Transparent Yellow brown,Tested,Shiny or Glossy,Oxidation,,Frit 3134	48.80,Whiting	2.90,Strontium carbonate	2.70,Kaolin - theoretical	18.70,Silica	0.80,Custer feldspar	26.10,Bentonite	2.00,,,,,,,
Faux Lead Strontium Base no GB2 test 3,04,Transparent Yellow brown,Untested,Shiny or Glossy,Oxidation,,Frit 3134	142.00,Strontium carbonate	8.00,Kaolin - theoretical	54.00,Flint	21.00,Nepheline syenite	49.00,Bentonite	2.00,,,,,,,,
Faux Lead Strontium Base no GB2 TEST2,04,Transparent Yellow brown,Tested,Shiny or Glossy,Oxidation,,Frit 3195	49.63,Wollastonite	13.62,Strontium carbonate	2.66,Flint	20.49,Nepheline syenite	9.66,Bentonite	2.00,,,,,,,,
Flamedrops,06-04,,,,Oxidation,Opaque,Magnesium carbonate30.80,Lithium carbonate15.40,Gerstley borate53.90,Copper carbonate4.60,Chromium oxide0.20,,,,,,,,,
Flesh Kelly's Lo-Fire Shino,06-04,pink,Untested,,Oxidation,Semi-opaque,Lithium carbonate	29.00,Nepheline syenite	70.00,EPK	11.00,Rutile	6.00,Manganese carbonate	0.50,,,,,,,,,
Foam M.J.'s White,06,White,,Crater,Oxidation,Opaque,Frit Pb-83	50.00,Ball clay	5.00,Wollastonite	20.00,Zircopax	7.00,,,,,,,,,,
Foam MJ's,04,Opaque White,Untested,Texture,Oxidation,,Frit 3110	63.60,Wollastonite	9.10,Bone ash	18.20,Frit 3124	4.60,EPK	4.60,,,,,,,,,
Forbes White Slip + 30% Grog,06 - 03,,,,,,Kentucky OM #4	38.50,Talc	15.40,Nepheline syenite	15.40,Silica	7.70,grog (50 mesh)	23.10,,,,,,,,,
Frosty Matt,04,Opaque White,Untested,Matte,Oxidation,,strontium	11.10,gerstley	11.40,G-200 feldspar	46.90,zinc	3.90,,,,,,,,,,
Fur Glaze,04,,,Texture,Oxidation,Opaque,Wollastonite	50.00,Gerstley borate	50.00,,,,,,,,,,,,
Garret's Glaze,,,,,,,Frit P-311	88.00,EPK	10.00,Bentonite	2.00,,,,,,,,,,,
Garret's Glaze w/Li,,,,,,,Gerstley borate	61.50,EPK	24.60,Flint	12.30,Lithium carbonate	1.64,,,,,,,,,,
