Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
TENMOKU GOLD,6,dark brown w/ gold flecks,,glossy shiny,,,Cornwall Stone	67.78,Whiting	8.89,Gerstley borate	3.33,Lithium carbonate	6.11,Dolomite	7.78,Flint	6.11,Red iron oxide	11.11,,,,,,,
Tenmoku Gold V's,5-7,Brown,,Gloss,Oxidation,,Cornwall Stone	67.80,Whiting	9.00,Gerstley borate	3.10,Lithium carbonate	6.10,Dolomite	7.80,Flint	6.20,Red iron oxide	11.00,,,,,,,
TESSHA LIKE,4 - 6,iron red brown,,,,,Kona F-4 feldspar	45.50,Whiting	8.30,Dolomite	6.00,Silica	20.00,Zinc oxide	4.00,Kaolin	2.50,Gerstley borate	13.70,Red iron oxide	10.00,,,,,,
Test#^6/23 Cone Six Iron Red,6,iron red,,shiny glossy,,,EPK	5.90,Flint	29.40,Custer feldspar	19.60,Talc	13.70,Gerstley borate	31.40,Red iron oxide	14.70,,,,,,,,
TIZZY F,6,,Untested,,Ox. or Red.,,Silica	15.31,Ferro Frit 3134	60.20,Custer feldspar	10.20,EPK	14.29,Zircopax	10.20,,,,,,,,,
TMH 4,6,,Untested,,oxidation,,Soda feldspar	56.10,Wollastonite	12.20,Ball clay	21.95,Gerstley borate	9.76,Zircopax	21.95,Cobalt oxide	2.44,,,,,,,,
Tomato Red,6,red,Untested,?,oxidation,Opaque,Nepheline syenite	50.00,Silica	22.70,Kaolin	9.10,Dolomite	9.10,Bone ash	9.10,Red iron oxide	9.10,Bentonite	1.80,,,,,,,
Towy Red,6,iron red,,,,,Custer feldspar	16.00,Talc	14.00,Gerstley borate	31.00,Bone ash	2.00,Lead bisilicate	2.00,EPK	5.00,Silica	30.00,Red iron oxide	15.00,,,,,,
Tracy Wilson's Clear,5 - 6,clear,,shiny,,,Nepheline syenite	45.00,Colemanite	25.00,Kaolin	15.00,Silica	15.00,Bentonite	3.00,,,,,,,,,
Translucent Base,5 - 6,,Untested,Semi-Gloss Satin Celadon,Ox. or Red.,Translucent,Nepheline syenite	44.00,Zinc oxide	13.00,Whiting	7.00,EPK	8.00,Flint	28.00,,,,,,,,,
Translucent Deep Green,5 - 6,deep translucent green,,,,,Custer feldspar	50.24,Silica	25.12,Whiting	9.05,Dolomite	5.03,Gerstley borate	7.54,Zinc oxide	3.02,Copper carbonate	7.04,,,,,,,
Transparent 1,5 - 6,,Untested,,Ox or Red,,Nepheline Sye	4445.00,Whiting	727.00,Talc	485.00,Flint	1858.00,EPK	485.00,,,,,,,,,
Transparent 2,5 - 6,Semi-transparent,Untested,Semi-Gloss,Ox or Red,,Custer feldspar	64.00,Whiting	18.00,Zinc oxide	5.00,Talc	4.00,EPK	9.00,,,,,,,,,
Transparent 3,5 - 6,Semi-transparent,Untested,Semi-Gloss,Ox or Red,,Custer feldspar	40.00,Gerstley borate	13.00,Whiting	15.00,Zinc oxide	4.00,Flint	18.00,EPK	10.00,,,,,,,,
Transparent 4,5 - 6,clear,Untested,Glossy,Ox. or Red.,Transparent,Cornwall Stone	47.00,Gerstley borate	47.00,EPK	4.00,Bentonite	2.00,,,,,,,,,,
Transparent 5,5 - 6,Transparent,Untested,,Ox or Red,,Nepheline syenite	46.00,Whiting	8.00,Zinc oxide	10.00,Flint	28.00,EPK	8.00,,,,,,,,,
Transparent 6,5 - 6,,Untested,,Oxidation,,Custer spar	1840.00,Whiting	800.00,Zinc oxide	480.00,Talc	80.00,Flint	2320.00,EPK	400.00,White Lead	2080.00,,,,,,,
Transparent 7,5 - 6,Clear,Untested,Glossy,Oxidation,,Frit 3304	2800.00,Frit 3124	3200.00,Zinc oxide	800.00,EPK	1200.00,,,,,,,,,,
Transparent 8,5 - 6,,Untested,,Ox or Red,,Oxford spar	2640.00,Gerstley borate	1840.00,Whiting	640.00,Flint	1440.00,EPK	800.00,Barium carbonate	640.00,,,,,,,,
Transparent Glossy 3,5 - 6,clear,Untested,Glossy,Ox. or Red.,Transparent,Custer feldspar	40.00,Gerstley borate	18.00,Whiting	16.00,EPK	10.00,Flint	16.00,,,,,,,,,
Transparent Semi-matte,5 - 6,,Untested,,Ox. or Red.,,Gerstley borate	6.55,Nepheline syenite	18.10,EPK	12.12,Magnesium carbonate	2.24,Whiting	22.45,Flint	38.53,Rutile	1.69,,,,,,,
Turquiiose/Green Crystal Nelson,5-6,Turquoise,Tested,Matt,Oxidation,Translucent,Nepheline syenite	41.50,Barium carbonate	27.80,Lithium carbonate	4.90,Whiting	4.90,Flint	14.50,Gerstley borate	2.00,EPK	4.50,Bentonite	2.00,Copper carbonate	12.00,,,,,
Turquoise,5-6,Turquoise,,Gloss,,Semi-opaque,Custer feldspar	33.50,Frit 3819	25.30,Flint	25.30,Whiting	5.60,Colemanite	6.50,Ball clay	3.80,Copper carbonate	3.00,Bentonite	1.00,,,,,,
Turquoise,5-6,Turquoise,,Gloss,,Semi-opaque,Custer feldspar	33.50,Frit 3819	25.30,Flint	25.30,Whiting	5.60,Colemanite	6.50,Ball clay	3.80,Copper carbonate	3.00,Bentonite	1.00,,,,,,
Turquoise Brilliant Matt,6,turquoise,Untested,matt,"oxidation, reduction",,Nepheline syenite	57.30,Silica	7.30,Barium carbonate	27.10,Lithium carbonate	2.10,Kaolin	6.30,Copper carbonate	4.20,,,,,,,,
Turquoise Brilliant Matt,6,turquoise,Untested,matt,"oxidation, reduction",,Nepheline syenite	57.30,Silica	7.30,Barium carbonate	27.10,Lithium carbonate	2.10,Kaolin	6.30,Copper carbonate	4.20,,,,,,,,
Turquoise Glaze,5,Turquoise,,Satin matt,Oxidation,Opaque,Custer feldspar	36.00,Wollastonite	20.00,Zinc oxide	12.00,Flint	26.00,Copper carbonate	4.00,,,,,,,,,
Turquoise Matt,5,turquoise,,matte,,,Strontium carbonate	26.20,Nepheline syenite	61.10,EPK	3.90,Flint	7.00,Lithium carbonate	1.80,Copper carbonate	4.40,Bentonite	1.80,,,,,,,
Turquoise Matt rev1,5,turquoise,Untested,matt,oxidaition,,Nepheline syenite	60.00,Strontium carbonate	25.00,Lithium carbonate	2.00,EPK	4.00,Silica	9.00,Copper carbonate	4.00,Bentonite	2.00,,,,,,,
UM Base,6,white,,,,,Kona F-4 feldspar	64.70,Gerstley borate	11.80,Whiting	9.40,EPK	7.10,Silica	7.10,Superpax	17.70,Bentonite	3.50,,,,,,,
"V's"" Tenmoku Gold""",6,brown w/yellow,,,oxidation,,Cornwall Stone	67.42,Whiting	8.99,Gerstley borate	3.37,Lithium carbonate	6.18,Dolomite	7.87,Flint	6.18,Red iron oxide	11.24,,,,,,,
V.C.  5,5 - 6,Clear,Untested,Glossy,Ox or Red,,Nepheline Sye	3200.00,Gerstley borate	400.00,Whiting	1280.00,Dolomite	240.00,Zinc oxide	160.00,Frit 3124	800.00,EPK	320.00,Flint	1600.00,,,,,,
