Glaze name,Cone,Color,Testing,Surface,Firing,Transparency,Recipe1,Recipe2,Recipe3,Recipe4,Recipe5,Recipe6,Recipe7,Recipe8,Recipe9,Recipe10,Recipe11,Recipe12,Recipe13,Recipe14
White WG,5 - 6,white,,,oxidation,,Feldspar	34.48,Gerstley borate	11.49,Zinc oxide	11.49,Dolomite	17.24,Flint	25.29,,,,,,,,,
Wood Ash Look,6,,Untested,,oxidation,,Ferro frit 3195	230.00,Whiting	170.00,EPK	100.00,,,,,,,,,,,
yee vian shin 1,6,"with 5% zircopax, white",,"texture, mottled",,,Nepheline syenite	34.95,Wollastonite	12.04,Lithium carbonate	2.65,Zinc oxide	5.84,Strontium carbonate	10.68,EPK	17.43,Silica	16.42,,,,,,,
Yellow Bright,2 - 5,bright yellow,Untested,,Ox. or Red.,,Kaolin	30.00,Frit 5301	70.00,Bentonite	3.00,Vanadium stain	10.00,,,,,,,,,,
Yellow green slip glaze,2 - 5,yellow green,Untested,,Ox. or Red.,,Albany slip	60.00,Frit 5301	40.00,Copper carbonate	2.00,,,,,,,,,,,
Yellow Ochre Glaze,6,,,,Ox. or Red.,,Kaolin	29.00,Frit 3110	26.00,Zinc oxide	17.00,Flint	16.00,Lithium carbonate	4.00,Red iron oxide	4.00,Tin oxide	4.00,Yellow ochre	0.50,Copper carbonate	0.40,,,,,
Yellow Seto Leach,6,yellow,,,oxidation,,Wood ash	66.67,Custer feldspar	33.33,Yellow ochre	33.33,,,,,,,,,,,
Yellow Woo,6,deep yellow,,matt,,,Nepheline syenite	42.51,Strontium carbonate	23.93,Dolomite	15.45,Silica	9.05,Kaolin	9.05,Zircopax	19.28,Red iron oxide	3.58,Bentonite	4.77,Epsom salts	1.19,,,,,
Zakin K15-1,6,dark blue,Untested,semi -matt,oxidation,,Nepheline syenite	40.00,Dolomite	18.00,Silica	18.00,Kaolin	12.00,Bone ash	6.00,Lithium carbonate	2.00,Zinc oxide	4.00,Copper carbonate	2.00,,,,,,
Zakin's GK ash,5 - 6,,Untested,ash runny,Ox. or Red.,,Ferro frit 3124	90.90,Magnesium carbonate	35.30,Nepheline syenite	50.50,Strontium carbonate	55.50,Spodumene	75.80,EPK	50.50,Whiting	65.70,Wood ash	75.80,Opax	60.60,Bentonite	10.10,,,,
Satin Dixon Revised Alyssa Welch,6,,,Gloss,Oxidation,Transparent,Dolomite	7.40,Frit 3124	6.20,Whiting	18.30,Nepheline syenite	20.50,Kaolin	20.40,Flint	27.20,,,,,,,,
Nutmeg Richard's,6,Brown,,Satin matt,Oxidation,Opaque,Dolomite	23.30,Spodumene	23.30,Kentucky OM #4	23.30,Silica	23.30,Frit 3134	6.80,Red iron oxide	1.10,Yellow ochre	3.20,Tin oxide	4.90,Bentonite	1.90,,,,,
Base Van Gilder,6,,,Gloss,Oxidation,Transparent,Custer feldspar	20.00,Frit 3134	20.00,Wollastonite	20.00,Silica	20.00,EPK	20.00,,,,,,,,,
Green Dragon Matt,6,Turquoise,,Matt,Oxidation,,Whiting	18.00,Zinc oxide	8.00,Cornwall Stone	22.00,Soda spar	44.00,EPK	3.00,Bentonite	5.00,Titanium dioxide	4.00,Copper carbonate	4.00,,,,,,
Ash Frasca,6,Turquoise,,Matt,Oxidation,,Whiting	11.00,Ash wood	56.00,Potash feldspar	11.00,Ball clay	11.00,Silica	11.00,Copper carbonate	4.00,,,,,,,,
Bronze Aqua Lana Wilson,6,,,,Oxidation,,Strontium carbonate	50.00,Nepheline syenite	50.00,Gerstley borate	2.50,Bentonite	3.00,Copper carbonate	4.00,,,,,,,,,
Lichen Bell's,6-8,,,Lichen,Oxidation,Opaque,Magnesium carbonate	31.00,Talc theoretical	8.00,Zinc oxide	6.00,Frit P-25	6.00,Soda spar	30.00,Kaolin	19.00,,,,,,,,
new glaze,,,,,,,,,,,,,,,,,,,,
Eggshell recalc,6,,,Matt,Oxidation,,Whiting	16.00,Dolomite	0.90,Zinc oxide	5.30,Frit 3195	24.80,Potash feldspar - theoretical	32.80,Kaolin - theoretical	0.30,Silica	19.90,Tin oxide	9.00,Red iron oxide	3.00,,,,,
Eggshell,6,,,Matt,Oxidation,,Whiting	9.50,Zinc oxide	5.50,Frit 3124	44.50,Custer feldspar	20.00,Bentonite	7.50,EPK	5.00,Silica	8.00,Tin oxide	9.00,Red iron oxide	3.00,,,,,
Slip Ron Meyers,02,White,,Unglazed,Ox. or Red.,Opaque,EPK	31.30,Kentucky OM #4	18.00,potspar	24.90,Flint	17.50,Zircopax Plus	7.40,Soda ash	0.20,Sodium silicate	0.20,,,,,,,
